OrdenEst;OrdenCorrida;PtCentral;Bloques;Clip;Celo_ala;Celo_cuerpo;Largo_ala;Largo_cuerpo;Ancho_cuerpo;Tiempo
24;1;1;1;no;no;no;6.5;9.5;4;1.55
16;2;1;1;no;no;no;9.5;6.5;4;2.186
10;3;1;1;no;si;si;9.5;6.5;4;1.993
4;4;1;1;no;no;si;6.5;6.5;4;0.986
6;5;1;1;no;si;no;6.5;6.5;4;1.19
38;6;0;1;no;si;no;8;8;5;1.63
15;7;1;1;si;no;no;9.5;6.5;6;1.784
1;8;1;1;si;si;si;6.5;6.5;4;0.884
20;9;1;1;no;no;si;6.5;9.5;6;1.207
39;10;0;1;si;no;no;8;8;5;1.401
17;11;1;1;si;si;si;6.5;9.5;6;0.946
35;12;0;1;si;no;si;8;8;5;1.148
8;13;1;1;no;no;no;6.5;6.5;6;1.16
30;14;1;1;no;si;no;9.5;9.5;4;1.224
12;15;1;1;no;no;si;9.5;6.5;6;2.173
14;16;1;1;no;si;no;9.5;6.5;6;2.13
2;17;1;1;no;si;si;6.5;6.5;6;0.878
5;18;1;1;si;si;no;6.5;6.5;6;0.863
34;19;0;1;no;si;si;8;8;5;1.451
7;20;1;1;si;no;no;6.5;6.5;4;0.88
23;21;1;1;si;no;no;6.5;9.5;6;1.065
37;22;0;1;si;si;no;8;8;5;1.284
40;23;0;1;no;no;no;8;8;5;1.283
11;24;1;1;si;no;si;9.5;6.5;4;2.024
13;25;1;1;si;si;no;9.5;6.5;4;2.044
21;26;1;1;si;si;no;6.5;9.5;4;1.244
32;27;1;1;no;no;no;9.5;9.5;6;1.102
22;28;1;1;no;si;no;6.5;9.5;6;1.529
19;29;1;1;si;no;si;6.5;9.5;4;1.045
9;30;1;1;si;si;si;9.5;6.5;6;1.747
28;31;1;1;no;no;si;9.5;9.5;4;1.349
33;32;0;1;si;si;si;8;8;5;1.262
27;33;1;1;si;no;si;9.5;9.5;6;0.904
31;34;1;1;si;no;no;9.5;9.5;4;1.038
29;35;1;1;si;si;no;9.5;9.5;6;1.164
3;36;1;1;si;no;si;6.5;6.5;6;0.915
25;37;1;1;si;si;si;9.5;9.5;4;1.104
26;38;1;1;no;si;si;9.5;9.5;6;1.6
36;39;0;1;no;no;si;8;8;5;1.634
18;40;1;1;no;si;si;6.5;9.5;4;1.425
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
